GO_term	taxon
GO:0000001	Eukaryota
GO:0000002	Eukaryota
GO:0000006	Dikarya
GO:0000007	saccharomyceta
GO:0000009	cellular organisms
GO:0000010	cellular organisms
GO:0000012	Eukaryota
GO:0000014	cellular organisms
GO:0000015	root
GO:0000017	Opisthokonta
GO:0000018	root
GO:0000022	Fungi
GO:0000023	cellular organisms
GO:0000025	cellular organisms
GO:0000026	cellular organisms
GO:0000027	cellular organisms
GO:0000028	cellular organisms
GO:0000030	root
GO:0000032	cellular organisms
GO:0000033	cellular organisms
GO:0000034	cellular organisms
GO:0000035	root
GO:0000036	cellular organisms
GO:0000038	Eukaryota
GO:0000041	root
GO:0000045	root
GO:0000049	cellular organisms
GO:0000050	cellular organisms
GO:0000052	root
GO:0000053	cellular organisms
GO:0000054	Eukaryota
GO:0000055	root
GO:0000056	Eukaryota
GO:0000062	cellular organisms
GO:0000064	cellular organisms
GO:0000070	Eukaryota
GO:0000076	Eukaryota
GO:0000077	Eukaryota
GO:0000082	root
GO:0000086	Eukaryota
GO:0000095	Eukaryota
GO:0000096	cellular organisms
GO:0000103	cellular organisms
GO:0000104	cellular organisms
GO:0000105	root
GO:0000107	cellular organisms
GO:0000109	Eukaryota
GO:0000110	Eukaryota
GO:0000111	Eukaryota
GO:0000112	Eukaryota
GO:0000118	Eukaryota
GO:0000120	Eukaryota
GO:0000121	Eukaryota
GO:0000122	cellular organisms
GO:0000123	Eukaryota
GO:0000124	Eukaryota
GO:0000126	Eukaryota
GO:0000127	cellular organisms
GO:0000131	Fungi
GO:0000132	Eukaryota
GO:0000136	Eukaryota
GO:0000137	Eukaryota
GO:0000138	Eukaryota
GO:0000139	root
GO:0000140	cellular organisms
GO:0000142	root
GO:0000145	cellular organisms
GO:0000146	cellular organisms
GO:0000147	Fungi
GO:0000148	Eukaryota
GO:0000149	root
GO:0000150	root
GO:0000151	cellular organisms
GO:0000154	cellular organisms
GO:0000155	root
GO:0000156	cellular organisms
GO:0000159	cellular organisms
GO:0000160	root
GO:0000162	root
GO:0000164	cellular organisms
GO:0000165	Eukaryota
GO:0000166	root
GO:0000171	Eukaryota
GO:0000172	cellular organisms
GO:0000175	root
GO:0000176	Eukaryota
GO:0000177	cellular organisms
GO:0000178	cellular organisms
GO:0000179	cellular organisms
GO:0000182	root
GO:0000183	Opisthokonta
GO:0000184	Eukaryota
GO:0000196	Fungi
GO:0000209	root
GO:0000210	root
GO:0000213	cellular organisms
GO:0000214	Eukaryota
GO:0000215	root
GO:0000217	Opisthokonta
GO:0000220	Eukaryota
GO:0000221	root
GO:0000224	root
GO:0000225	cellular organisms
GO:0000226	root
GO:0000228	Eukaryota
GO:0000235	Eukaryota
GO:0000242	cellular organisms
GO:0000243	root
GO:0000244	Eukaryota
GO:0000245	Eukaryota
GO:0000246	cellular organisms
GO:0000247	cellular organisms
GO:0000250	Eukaryota
GO:0000253	root
GO:0000255	cellular organisms
GO:0000256	cellular organisms
GO:0000257	cellular organisms
GO:0000262	Eukaryota
GO:0000266	root
GO:0000268	Eukaryota
GO:0000270	root
GO:0000271	root
GO:0000272	cellular organisms
GO:0000278	root
GO:0000280	Eukaryota
GO:0000281	Eukaryota
GO:0000285	Eukaryota
GO:0000286	root
GO:0000287	root
GO:0000288	root
GO:0000289	Eukaryota
GO:0000290	root
GO:0000293	cellular organisms
GO:0000296	Opisthokonta
GO:0000297	Fungi
GO:0000298	root
GO:0000301	Eukaryota
GO:0000302	cellular organisms
GO:0000304	cellular organisms
GO:0000307	cellular organisms
GO:0000309	root
GO:0000310	cellular organisms
GO:0000316	cellular organisms
GO:0000319	cellular organisms
GO:0000320	Opisthokonta
GO:0000323	cellular organisms
GO:0000324	root
GO:0000325	Viridiplantae
GO:0000328	Fungi
GO:0000329	root
GO:0000333	Eukaryota
GO:0000334	root
GO:0000338	cellular organisms
GO:0000339	Eukaryota
GO:0000340	root
GO:0000346	Eukaryota
GO:0000347	Eukaryota
GO:0000349	Eukaryota
GO:0000350	root
GO:0000373	cellular organisms
GO:0000375	Eukaryota
GO:0000379	cellular organisms
GO:0000380	Eukaryota
GO:0000381	Eukaryota
GO:0000387	Eukaryota
GO:0000390	root
GO:0000393	Eukaryota
GO:0000395	Eukaryota
GO:0000398	root
GO:0000400	cellular organisms
GO:0000402	root
GO:0000403	root
GO:0000407	cellular organisms
GO:0000408	cellular organisms
GO:0000417	Eukaryota
GO:0000419	Eukaryota
